Game Number,AI1 [EV] Wins,AI1 [EV] Losses,AI1 [EV] Draws,AI1 [EV] Win Percentage,AI1 [EV] Cumulative Game Reward,AI1 [EV] Reward/Game Average,AI2 [EV] Wins,AI2 [EV] Losses,AI2 [EV] Draws,AI2 [EV] Win Percentage,AI2 [EV] Cumulative Game Reward,AI2 [EV] Reward/Game Average
1,1,0,0,1,938,938,0,1,0,0,-938,-938
2,1,0,1,0.5,938,469,0,1,1,0,-938,-469
3,2,0,1,0.667,1876,625.333,0,2,1,0,-1876,-625.333
4,2,1,1,0.5,1145,286.25,1,2,1,0.25,-1145,-286.25
5,3,1,1,0.6,2082,416.4,1,3,1,0.2,-2082,-416.4
6,4,1,1,0.667,2586,431,1,4,1,0.167,-2586,-431
7,5,1,1,0.714,3287,469.571,1,5,1,0.143,-3287,-469.571
8,6,1,1,0.75,3487,435.875,1,6,1,0.125,-3487,-435.875
9,7,1,1,0.778,4341,482.333,1,7,1,0.111,-4341,-482.333
10,7,2,1,0.7,3446,344.6,2,7,1,0.2,-3446,-344.6
11,7,3,1,0.636,3346,304.182,3,7,1,0.273,-3346,-304.182
12,8,3,1,0.667,4176,348,3,8,1,0.25,-4176,-348
13,8,4,1,0.615,4076,313.538,4,8,1,0.308,-4076,-313.538
14,8,5,1,0.571,3976,284,5,8,1,0.357,-3976,-284
15,8,6,1,0.533,3001,200.067,6,8,1,0.4,-3001,-200.067
16,8,7,1,0.5,2361,147.562,7,8,1,0.438,-2361,-147.562
17,8,7,2,0.471,2361,138.882,7,8,2,0.412,-2361,-138.882
18,9,7,2,0.5,3145,174.722,7,9,2,0.389,-3145,-174.722
19,10,7,2,0.526,3245,170.789,7,10,2,0.368,-3245,-170.789
20,10,8,2,0.5,2643,132.15,8,10,2,0.4,-2643,-132.15
21,11,8,2,0.524,3571,170.048,8,11,2,0.381,-3571,-170.048
22,11,9,2,0.5,3471,157.773,9,11,2,0.409,-3471,-157.773
23,11,10,2,0.478,3371,146.565,10,11,2,0.435,-3371,-146.565
24,11,11,2,0.458,2626,109.417,11,11,2,0.458,-2626,-109.417
25,12,11,2,0.48,3306,132.24,11,12,2,0.44,-3306,-132.24
26,12,12,2,0.462,2519,96.885,12,12,2,0.462,-2519,-96.885
27,13,12,2,0.481,3307,122.481,12,13,2,0.444,-3307,-122.481
28,13,13,2,0.464,2507,89.536,13,13,2,0.464,-2507,-89.536
29,14,13,2,0.483,3051,105.207,13,14,2,0.448,-3051,-105.207
30,14,14,2,0.467,2277,75.9,14,14,2,0.467,-2277,-75.9
31,14,15,2,0.452,1363,43.968,15,14,2,0.484,-1363,-43.968
32,14,16,2,0.438,643,20.094,16,14,2,0.5,-643,-20.094
33,14,17,2,0.424,-267,-8.091,17,14,2,0.515,267,8.091
34,15,17,2,0.441,431,12.676,17,15,2,0.5,-431,-12.676
35,16,17,2,0.457,1416,40.457,17,16,2,0.486,-1416,-40.457
36,17,17,2,0.472,2381,66.139,17,17,2,0.472,-2381,-66.139
37,17,18,2,0.459,2281,61.649,18,17,2,0.486,-2281,-61.649
38,17,19,2,0.447,1499,39.447,19,17,2,0.5,-1499,-39.447
39,18,19,2,0.462,2099,53.821,19,18,2,0.487,-2099,-53.821
