Game Number,AI1 [NB] Wins,AI1 [NB] Losses,AI1 [NB] Draws,AI1 [NB] Win Percentage,AI1 [NB] Cumulative Game Reward,AI1 [NB] Reward/Game Average,AI2 [EV] Wins,AI2 [EV] Losses,AI2 [EV] Draws,AI2 [EV] Win Percentage,AI2 [EV] Cumulative Game Reward,AI2 [EV] Reward/Game Average
1,1,0,0,1,476,476,0,1,0,0,-476,-476
2,2,0,0,1,1276,638,0,2,0,0,-1276,-638
3,3,0,0,1,1376,458.667,0,3,0,0,-1376,-458.667
4,4,0,0,1,1852,463,0,4,0,0,-1852,-463
5,4,1,0,0.8,1172,234.4,1,4,0,0.2,-1172,-234.4
6,4,2,0,0.667,1072,178.667,2,4,0,0.333,-1072,-178.667
7,4,3,0,0.571,304,43.429,3,4,0,0.429,-304,-43.429
8,4,4,0,0.5,-496,-62,4,4,0,0.5,496,62
9,5,4,0,0.556,112,12.444,4,5,0,0.444,-112,-12.444
10,6,4,0,0.6,976,97.6,4,6,0,0.4,-976,-97.6
11,6,5,0,0.545,155,14.091,5,6,0,0.455,-155,-14.091
12,7,5,0,0.583,819,68.25,5,7,0,0.417,-819,-68.25
13,7,6,0,0.538,59,4.538,6,7,0,0.462,-59,-4.538
14,8,6,0,0.571,159,11.357,6,8,0,0.429,-159,-11.357
15,8,7,0,0.533,-265,-17.667,7,8,0,0.467,265,17.667
16,9,7,0,0.562,239,14.938,7,9,0,0.438,-239,-14.938
17,10,7,0,0.588,683,40.176,7,10,0,0.412,-683,-40.176
18,10,8,0,0.556,483,26.833,8,10,0,0.444,-483,-26.833
19,11,8,0,0.579,1283,67.526,8,11,0,0.421,-1283,-67.526
20,12,8,0,0.6,1839,91.95,8,12,0,0.4,-1839,-91.95
21,12,9,0,0.571,1739,82.81,9,12,0,0.429,-1739,-82.81
22,12,10,0,0.545,1539,69.955,10,12,0,0.455,-1539,-69.955
23,12,11,0,0.522,971,42.217,11,12,0,0.478,-971,-42.217
24,12,12,0,0.5,251,10.458,12,12,0,0.5,-251,-10.458
25,12,13,0,0.48,151,6.04,13,12,0,0.52,-151,-6.04
26,13,13,0,0.5,251,9.654,13,13,0,0.5,-251,-9.654
27,14,13,0,0.519,351,13,13,14,0,0.481,-351,-13
28,15,13,0,0.536,799,28.536,13,15,0,0.464,-799,-28.536
29,15,14,0,0.517,379,13.069,14,15,0,0.483,-379,-13.069
30,16,14,0,0.533,479,15.967,14,16,0,0.467,-479,-15.967
31,17,14,0,0.548,579,18.677,14,17,0,0.452,-579,-18.677
32,17,15,0,0.531,31,0.969,15,17,0,0.469,-31,-0.969
33,17,16,0,0.515,-657,-19.909,16,17,0,0.485,657,19.909
34,17,17,0,0.5,-757,-22.265,17,17,0,0.5,757,22.265
35,17,18,0,0.486,-1485,-42.429,18,17,0,0.514,1485,42.429
36,17,19,0,0.472,-2285,-63.472,19,17,0,0.528,2285,63.472
37,17,20,0,0.459,-2925,-79.054,20,17,0,0.541,2925,79.054
38,17,21,0,0.447,-3537,-93.079,21,17,0,0.553,3537,93.079
39,18,21,0,0.462,-3437,-88.128,21,18,0,0.538,3437,88.128
40,19,21,0,0.475,-2537,-63.425,21,19,0,0.525,2537,63.425
41,19,21,1,0.463,-2537,-61.878,21,19,1,0.512,2537,61.878
42,19,22,1,0.452,-3081,-73.357,22,19,1,0.524,3081,73.357
43,20,22,1,0.465,-2281,-53.047,22,20,1,0.512,2281,53.047
44,20,23,1,0.455,-3081,-70.023,23,20,1,0.523,3081,70.023
45,21,23,1,0.467,-2281,-50.689,23,21,1,0.511,2281,50.689
46,21,24,1,0.457,-3081,-66.978,24,21,1,0.522,3081,66.978
47,21,25,1,0.447,-3950,-84.043,25,21,1,0.532,3950,84.043
48,22,25,1,0.458,-3850,-80.208,25,22,1,0.521,3850,80.208
49,23,25,1,0.469,-3750,-76.531,25,23,1,0.51,3750,76.531
50,23,26,1,0.46,-4550,-91,26,23,1,0.52,4550,91
51,23,27,1,0.451,-4750,-93.137,27,23,1,0.529,4750,93.137
52,23,28,1,0.442,-4850,-93.269,28,23,1,0.538,4850,93.269
53,24,28,1,0.453,-4250,-80.189,28,24,1,0.528,4250,80.189
54,24,29,1,0.444,-4706,-87.148,29,24,1,0.537,4706,87.148
55,25,29,1,0.455,-4606,-83.745,29,25,1,0.527,4606,83.745
56,25,30,1,0.446,-5082,-90.75,30,25,1,0.536,5082,90.75
57,25,30,2,0.439,-5082,-89.158,30,25,2,0.526,5082,89.158
58,25,31,2,0.431,-5282,-91.069,31,25,2,0.534,5282,91.069
59,25,32,2,0.424,-5982,-101.39,32,25,2,0.542,5982,101.39
60,25,33,2,0.417,-6782,-113.033,33,25,2,0.55,6782,113.033
61,26,33,2,0.426,-6042,-99.049,33,26,2,0.541,6042,99.049
62,26,34,2,0.419,-6818,-109.968,34,26,2,0.548,6818,109.968
63,26,35,2,0.413,-7018,-111.397,35,26,2,0.556,7018,111.397
64,26,36,2,0.406,-7554,-118.031,36,26,2,0.562,7554,118.031
65,27,36,2,0.415,-6902,-106.185,36,27,2,0.554,6902,106.185
66,27,37,2,0.409,-7529,-114.076,37,27,2,0.561,7529,114.076
67,27,38,2,0.403,-8261,-123.299,38,27,2,0.567,8261,123.299
68,27,39,2,0.397,-8937,-131.426,39,27,2,0.574,8937,131.426
69,27,40,2,0.391,-9037,-130.971,40,27,2,0.58,9037,130.971
70,27,41,2,0.386,-9837,-140.529,41,27,2,0.586,9837,140.529
71,27,42,2,0.38,-10609,-149.423,42,27,2,0.592,10609,149.423
72,28,42,2,0.389,-10509,-145.958,42,28,2,0.583,10509,145.958
73,28,43,2,0.384,-11121,-152.342,43,28,2,0.589,11121,152.342
74,29,43,2,0.392,-10637,-143.743,43,29,2,0.581,10637,143.743
75,30,43,2,0.4,-9837,-131.16,43,30,2,0.573,9837,131.16
76,31,43,2,0.408,-9737,-128.118,43,31,2,0.566,9737,128.118
77,31,44,2,0.403,-10537,-136.844,44,31,2,0.571,10537,136.844
78,31,45,2,0.397,-11029,-141.397,45,31,2,0.577,11029,141.397
79,32,45,2,0.405,-10143,-128.392,45,32,2,0.57,10143,128.392
80,32,46,2,0.4,-10243,-128.037,46,32,2,0.575,10243,128.037
81,32,47,2,0.395,-11007,-135.889,47,32,2,0.58,11007,135.889
82,32,48,2,0.39,-11443,-139.549,48,32,2,0.585,11443,139.549
83,32,49,2,0.386,-12023,-144.855,49,32,2,0.59,12023,144.855
84,32,50,2,0.381,-13016,-154.952,50,32,2,0.595,13016,154.952
85,32,51,2,0.376,-13816,-162.541,51,32,2,0.6,13816,162.541
86,33,51,2,0.384,-13336,-155.07,51,33,2,0.593,13336,155.07
87,34,51,2,0.391,-12860,-147.816,51,34,2,0.586,12860,147.816
88,34,52,2,0.386,-12960,-147.273,52,34,2,0.591,12960,147.273
89,34,53,2,0.382,-13684,-153.753,53,34,2,0.596,13684,153.753
90,34,54,2,0.378,-14112,-156.8,54,34,2,0.6,14112,156.8
91,35,54,2,0.385,-13460,-147.912,54,35,2,0.593,13460,147.912
92,35,55,2,0.38,-14260,-155,55,35,2,0.598,14260,155
93,36,55,2,0.387,-13575,-145.968,55,36,2,0.591,13575,145.968
94,36,56,2,0.383,-14375,-152.926,56,36,2,0.596,14375,152.926
95,37,56,2,0.389,-13695,-144.158,56,37,2,0.589,13695,144.158
96,38,56,2,0.396,-12811,-133.448,56,38,2,0.583,12811,133.448
97,38,57,2,0.392,-13523,-139.412,57,38,2,0.588,13523,139.412
98,38,57,3,0.388,-13523,-137.99,57,38,3,0.582,13523,137.99
99,38,58,3,0.384,-13623,-137.606,58,38,3,0.586,13623,137.606
100,38,59,3,0.38,-14267,-142.67,59,38,3,0.59,14267,142.67
101,38,60,3,0.376,-14711,-145.653,60,38,3,0.594,14711,145.653
102,38,60,4,0.373,-14711,-144.225,60,38,4,0.588,14711,144.225
103,39,60,4,0.379,-14023,-136.146,60,39,4,0.583,14023,136.146
104,39,61,4,0.375,-14603,-140.413,61,39,4,0.587,14603,140.413
105,40,61,4,0.381,-14503,-138.124,61,40,4,0.581,14503,138.124
106,40,62,4,0.377,-15187,-143.274,62,40,4,0.585,15187,143.274
107,40,63,4,0.374,-15987,-149.411,63,40,4,0.589,15987,149.411
108,41,63,4,0.38,-15299,-141.657,63,41,4,0.583,15299,141.657
109,42,63,4,0.385,-14499,-133.018,63,42,4,0.578,14499,133.018
110,43,63,4,0.391,-14399,-130.9,63,43,4,0.573,14399,130.9
111,43,64,4,0.387,-14499,-130.622,64,43,4,0.577,14499,130.622
112,43,65,4,0.384,-14599,-130.348,65,43,4,0.58,14599,130.348
113,43,66,4,0.381,-15399,-136.274,66,43,4,0.584,15399,136.274
114,44,66,4,0.386,-14772,-129.579,66,44,4,0.579,14772,129.579
115,44,67,4,0.383,-15448,-134.33,67,44,4,0.583,15448,134.33
116,44,68,4,0.379,-15932,-137.345,68,44,4,0.586,15932,137.345
117,44,69,4,0.376,-16712,-142.838,69,44,4,0.59,16712,142.838
118,44,70,4,0.373,-17152,-145.356,70,44,4,0.593,17152,145.356
119,44,71,4,0.37,-17624,-148.101,71,44,4,0.597,17624,148.101
120,44,72,4,0.367,-18064,-150.533,72,44,4,0.6,18064,150.533
121,44,73,4,0.364,-18668,-154.281,73,44,4,0.603,18668,154.281
122,45,73,4,0.369,-18568,-152.197,73,45,4,0.598,18568,152.197
123,46,73,4,0.374,-18084,-147.024,73,46,4,0.593,18084,147.024
124,47,73,4,0.379,-17640,-142.258,73,47,4,0.589,17640,142.258
125,47,74,4,0.376,-18140,-145.12,74,47,4,0.592,18140,145.12
126,47,75,4,0.373,-18724,-148.603,75,47,4,0.595,18724,148.603
127,47,76,4,0.37,-18824,-148.22,76,47,4,0.598,18824,148.22
128,47,77,4,0.367,-19624,-153.312,77,47,4,0.602,19624,153.312
129,47,77,5,0.364,-19624,-152.124,77,47,5,0.597,19624,152.124
130,48,77,5,0.369,-19524,-150.185,77,48,5,0.592,19524,150.185
131,48,78,5,0.366,-19624,-149.802,78,48,5,0.595,19624,149.802
132,48,79,5,0.364,-19724,-149.424,79,48,5,0.598,19724,149.424
133,49,79,5,0.368,-19264,-144.842,79,49,5,0.594,19264,144.842
134,49,80,5,0.366,-19724,-147.194,80,49,5,0.597,19724,147.194
135,50,80,5,0.37,-19624,-145.363,80,50,5,0.593,19624,145.363
136,50,81,5,0.368,-20068,-147.559,81,50,5,0.596,20068,147.559
137,51,81,5,0.372,-19268,-140.642,81,51,5,0.591,19268,140.642
138,52,81,5,0.377,-19168,-138.899,81,52,5,0.587,19168,138.899
139,53,81,5,0.381,-18484,-132.978,81,53,5,0.583,18484,132.978
140,54,81,5,0.386,-17908,-127.914,81,54,5,0.579,17908,127.914
141,55,81,5,0.39,-17108,-121.333,81,55,5,0.574,17108,121.333
142,55,82,5,0.387,-17208,-121.183,82,55,5,0.577,17208,121.183
143,55,83,5,0.385,-17864,-124.923,83,55,5,0.58,17864,124.923
144,56,83,5,0.389,-17388,-120.75,83,56,5,0.576,17388,120.75
