Game Number,AI1 [NB] Wins,AI1 [NB] Losses,AI1 [NB] Draws,AI1 [NB] Win Percentage,AI1 [NB] Cumulative Game Reward,AI1 [NB] Reward/Game Average,AI2 [QL] Wins,AI2 [QL] Losses,AI2 [QL] Draws,AI2 [QL] Win Percentage,AI2 [QL] Cumulative Game Reward,AI2 [QL] Reward/Game Average
1,1,0,0,1,200,200,0,1,0,0,-200,-200
2,2,0,0,1,800,400,0,2,0,0,-800,-400
3,3,0,0,1,1000,333.333,0,3,0,0,-1000,-333.333
4,4,0,0,1,1200,300,0,4,0,0,-1200,-300
5,5,0,0,1,1400,280,0,5,0,0,-1400,-280
6,6,0,0,1,1800,300,0,6,0,0,-1800,-300
7,7,0,0,1,2400,342.857,0,7,0,0,-2400,-342.857
8,7,1,0,0.875,1800,225,1,7,0,0.125,-1800,-225
9,8,1,0,0.889,2100,233.333,1,8,0,0.111,-2100,-233.333
10,9,1,0,0.9,2200,220,1,9,0,0.1,-2200,-220
11,10,1,0,0.909,2400,218.182,1,10,0,0.091,-2400,-218.182
12,10,2,0,0.833,2200,183.333,2,10,0,0.167,-2200,-183.333
13,11,2,0,0.846,2400,184.615,2,11,0,0.154,-2400,-184.615
14,11,3,0,0.786,2100,150,3,11,0,0.214,-2100,-150
15,12,3,0,0.8,2400,160,3,12,0,0.2,-2400,-160
16,13,3,0,0.812,2800,175,3,13,0,0.188,-2800,-175
17,13,4,0,0.765,2700,158.824,4,13,0,0.235,-2700,-158.824
18,14,4,0,0.778,2900,161.111,4,14,0,0.222,-2900,-161.111
19,15,4,0,0.789,3100,163.158,4,15,0,0.211,-3100,-163.158
20,16,4,0,0.8,3300,165,4,16,0,0.2,-3300,-165
21,17,4,0,0.81,3700,176.19,4,17,0,0.19,-3700,-176.19
22,18,4,0,0.818,3800,172.727,4,18,0,0.182,-3800,-172.727
23,19,4,0,0.826,4200,182.609,4,19,0,0.174,-4200,-182.609
24,19,5,0,0.792,4100,170.833,5,19,0,0.208,-4100,-170.833
25,20,5,0,0.8,4200,168,5,20,0,0.2,-4200,-168
26,21,5,0,0.808,4500,173.077,5,21,0,0.192,-4500,-173.077
27,22,5,0,0.815,4900,181.481,5,22,0,0.185,-4900,-181.481
28,23,5,0,0.821,5400,192.857,5,23,0,0.179,-5400,-192.857
29,24,5,0,0.828,5500,189.655,5,24,0,0.172,-5500,-189.655
30,25,5,0,0.833,5700,190,5,25,0,0.167,-5700,-190
31,26,5,0,0.839,6100,196.774,5,26,0,0.161,-6100,-196.774
32,27,5,0,0.844,6600,206.25,5,27,0,0.156,-6600,-206.25
33,28,5,0,0.848,6800,206.061,5,28,0,0.152,-6800,-206.061
34,28,6,0,0.824,6700,197.059,6,28,0,0.176,-6700,-197.059
35,29,6,0,0.829,6900,197.143,6,29,0,0.171,-6900,-197.143
36,30,6,0,0.833,7000,194.444,6,30,0,0.167,-7000,-194.444
37,31,6,0,0.838,7400,200,6,31,0,0.162,-7400,-200
38,32,6,0,0.842,7600,200,6,32,0,0.158,-7600,-200
39,32,7,0,0.821,7300,187.179,7,32,0,0.179,-7300,-187.179
40,33,7,0,0.825,7500,187.5,7,33,0,0.175,-7500,-187.5
41,34,7,0,0.829,7900,192.683,7,34,0,0.171,-7900,-192.683
42,35,7,0,0.833,8700,207.143,7,35,0,0.167,-8700,-207.143
43,36,7,0,0.837,9300,216.279,7,36,0,0.163,-9300,-216.279
44,37,7,0,0.841,9500,215.909,7,37,0,0.159,-9500,-215.909
45,38,7,0,0.844,9700,215.556,7,38,0,0.156,-9700,-215.556
46,39,7,0,0.848,9900,215.217,7,39,0,0.152,-9900,-215.217
47,40,7,0,0.851,10100,214.894,7,40,0,0.149,-10100,-214.894
48,41,7,0,0.854,10300,214.583,7,41,0,0.146,-10300,-214.583
49,42,7,0,0.857,10400,212.245,7,42,0,0.143,-10400,-212.245
50,43,7,0,0.86,10600,212,7,43,0,0.14,-10600,-212
51,44,7,0,0.863,11000,215.686,7,44,0,0.137,-11000,-215.686
52,45,7,0,0.865,11200,215.385,7,45,0,0.135,-11200,-215.385
53,46,7,0,0.868,12000,226.415,7,46,0,0.132,-12000,-226.415
54,47,7,0,0.87,12400,229.63,7,47,0,0.13,-12400,-229.63
55,48,7,0,0.873,12800,232.727,7,48,0,0.127,-12800,-232.727
56,49,7,0,0.875,13200,235.714,7,49,0,0.125,-13200,-235.714
57,49,8,0,0.86,13100,229.825,8,49,0,0.14,-13100,-229.825
58,50,8,0,0.862,13300,229.31,8,50,0,0.138,-13300,-229.31
59,51,8,0,0.864,13700,232.203,8,51,0,0.136,-13700,-232.203
60,51,9,0,0.85,13500,225,9,51,0,0.15,-13500,-225
61,52,9,0,0.852,14300,234.426,9,52,0,0.148,-14300,-234.426
62,53,9,0,0.855,14700,237.097,9,53,0,0.145,-14700,-237.097
63,54,9,0,0.857,15100,239.683,9,54,0,0.143,-15100,-239.683
64,55,9,0,0.859,15700,245.312,9,55,0,0.141,-15700,-245.312
65,56,9,0,0.862,16100,247.692,9,56,0,0.138,-16100,-247.692
66,57,9,0,0.864,16300,246.97,9,57,0,0.136,-16300,-246.97
67,57,10,0,0.851,16200,241.791,10,57,0,0.149,-16200,-241.791
68,58,10,0,0.853,16400,241.176,10,58,0,0.147,-16400,-241.176
69,58,11,0,0.841,16300,236.232,11,58,0,0.159,-16300,-236.232
70,58,12,0,0.829,16100,230,12,58,0,0.171,-16100,-230
71,59,12,0,0.831,16500,232.394,12,59,0,0.169,-16500,-232.394
72,60,12,0,0.833,16700,231.944,12,60,0,0.167,-16700,-231.944
73,61,12,0,0.836,16900,231.507,12,61,0,0.164,-16900,-231.507
74,62,12,0,0.838,17300,233.784,12,62,0,0.162,-17300,-233.784
75,63,12,0,0.84,17400,232,12,63,0,0.16,-17400,-232
76,64,12,0,0.842,17700,232.895,12,64,0,0.158,-17700,-232.895
77,64,13,0,0.831,17500,227.273,13,64,0,0.169,-17500,-227.273
78,65,13,0,0.833,17700,226.923,13,65,0,0.167,-17700,-226.923
79,66,13,0,0.835,17900,226.582,13,66,0,0.165,-17900,-226.582
80,67,13,0,0.838,18000,225,13,67,0,0.163,-18000,-225
81,68,13,0,0.84,18200,224.691,13,68,0,0.16,-18200,-224.691
82,69,13,0,0.841,18400,224.39,13,69,0,0.159,-18400,-224.39
83,70,13,0,0.843,18600,224.096,13,70,0,0.157,-18600,-224.096
84,71,13,0,0.845,19000,226.19,13,71,0,0.155,-19000,-226.19
85,72,13,0,0.847,19300,227.059,13,72,0,0.153,-19300,-227.059
86,73,13,0,0.849,19500,226.744,13,73,0,0.151,-19500,-226.744
87,74,13,0,0.851,19700,226.437,13,74,0,0.149,-19700,-226.437
88,75,13,0,0.852,20100,228.409,13,75,0,0.148,-20100,-228.409
89,76,13,0,0.854,20500,230.337,13,76,0,0.146,-20500,-230.337
90,76,14,0,0.844,20100,223.333,14,76,0,0.156,-20100,-223.333
91,76,15,0,0.835,19900,218.681,15,76,0,0.165,-19900,-218.681
92,76,16,0,0.826,19700,214.13,16,76,0,0.174,-19700,-214.13
93,76,17,0,0.817,19500,209.677,17,76,0,0.183,-19500,-209.677
94,76,18,0,0.809,19100,203.191,18,76,0,0.191,-19100,-203.191
95,77,18,0,0.811,19700,207.368,18,77,0,0.189,-19700,-207.368
96,78,18,0,0.812,20300,211.458,18,78,0,0.188,-20300,-211.458
97,79,18,0,0.814,20600,212.371,18,79,0,0.186,-20600,-212.371
98,79,19,0,0.806,20400,208.163,19,79,0,0.194,-20400,-208.163
99,79,20,0,0.798,20200,204.04,20,79,0,0.202,-20200,-204.04
100,80,20,0,0.8,20800,208,20,80,0,0.2,-20800,-208
101,80,21,0,0.792,20600,203.96,21,80,0,0.208,-20600,-203.96
102,81,21,0,0.794,21200,207.843,21,81,0,0.206,-21200,-207.843
103,82,21,0,0.796,21600,209.709,21,82,0,0.204,-21600,-209.709
104,82,22,0,0.788,21400,205.769,22,82,0,0.212,-21400,-205.769
105,83,22,0,0.79,21600,205.714,22,83,0,0.21,-21600,-205.714
106,84,22,0,0.792,21800,205.66,22,84,0,0.208,-21800,-205.66
107,84,23,0,0.785,21600,201.869,23,84,0,0.215,-21600,-201.869
108,84,24,0,0.778,21000,194.444,24,84,0,0.222,-21000,-194.444
109,85,24,0,0.78,21100,193.578,24,85,0,0.22,-21100,-193.578
110,85,25,0,0.773,21000,190.909,25,85,0,0.227,-21000,-190.909
111,86,25,0,0.775,21600,194.595,25,86,0,0.225,-21600,-194.595
112,86,26,0,0.768,21500,191.964,26,86,0,0.232,-21500,-191.964
113,87,26,0,0.77,21700,192.035,26,87,0,0.23,-21700,-192.035
114,87,27,0,0.763,21300,186.842,27,87,0,0.237,-21300,-186.842
115,88,27,0,0.765,21900,190.435,27,88,0,0.235,-21900,-190.435
116,89,27,0,0.767,22100,190.517,27,89,0,0.233,-22100,-190.517
117,89,28,0,0.761,21700,185.47,28,89,0,0.239,-21700,-185.47
118,90,28,0,0.763,21800,184.746,28,90,0,0.237,-21800,-184.746
119,91,28,0,0.765,22200,186.555,28,91,0,0.235,-22200,-186.555
120,92,28,0,0.767,22800,190,28,92,0,0.233,-22800,-190
121,93,28,0,0.769,23200,191.736,28,93,0,0.231,-23200,-191.736
122,93,29,0,0.762,22800,186.885,29,93,0,0.238,-22800,-186.885
123,93,30,0,0.756,22600,183.74,30,93,0,0.244,-22600,-183.74
124,93,31,0,0.75,22200,179.032,31,93,0,0.25,-22200,-179.032
125,93,32,0,0.744,21800,174.4,32,93,0,0.256,-21800,-174.4
126,94,32,0,0.746,22200,176.19,32,94,0,0.254,-22200,-176.19
127,94,33,0,0.74,21600,170.079,33,94,0,0.26,-21600,-170.079
128,95,33,0,0.742,21800,170.312,33,95,0,0.258,-21800,-170.312
129,95,34,0,0.736,21600,167.442,34,95,0,0.264,-21600,-167.442
130,96,34,0,0.738,22200,170.769,34,96,0,0.262,-22200,-170.769
131,97,34,0,0.74,22600,172.519,34,97,0,0.26,-22600,-172.519
132,97,35,0,0.735,22400,169.697,35,97,0,0.265,-22400,-169.697
133,98,35,0,0.737,23000,172.932,35,98,0,0.263,-23000,-172.932
134,99,35,0,0.739,23200,173.134,35,99,0,0.261,-23200,-173.134
135,99,36,0,0.733,23100,171.111,36,99,0,0.267,-23100,-171.111
136,100,36,0,0.735,23300,171.324,36,100,0,0.265,-23300,-171.324
137,100,37,0,0.73,23100,168.613,37,100,0,0.27,-23100,-168.613
138,101,37,0,0.732,23300,168.841,37,101,0,0.268,-23300,-168.841
139,102,37,0,0.734,23700,170.504,37,102,0,0.266,-23700,-170.504
140,103,37,0,0.736,24100,172.143,37,103,0,0.264,-24100,-172.143
141,103,38,0,0.73,23500,166.667,38,103,0,0.27,-23500,-166.667
142,103,39,0,0.725,22900,161.268,39,103,0,0.275,-22900,-161.268
143,104,39,0,0.727,23100,161.538,39,104,0,0.273,-23100,-161.538
144,104,40,0,0.722,23000,159.722,40,104,0,0.278,-23000,-159.722
145,104,41,0,0.717,22800,157.241,41,104,0,0.283,-22800,-157.241
146,105,41,0,0.719,23200,158.904,41,105,0,0.281,-23200,-158.904
147,106,41,0,0.721,23400,159.184,41,106,0,0.279,-23400,-159.184
148,107,41,0,0.723,23600,159.459,41,107,0,0.277,-23600,-159.459
149,108,41,0,0.725,23800,159.732,41,108,0,0.275,-23800,-159.732
150,109,41,0,0.727,24400,162.667,41,109,0,0.273,-24400,-162.667
151,109,42,0,0.722,24200,160.265,42,109,0,0.278,-24200,-160.265
152,110,42,0,0.724,24400,160.526,42,110,0,0.276,-24400,-160.526
153,111,42,0,0.725,25000,163.399,42,111,0,0.275,-25000,-163.399
154,112,42,0,0.727,25200,163.636,42,112,0,0.273,-25200,-163.636
155,113,42,0,0.729,25400,163.871,42,113,0,0.271,-25400,-163.871
156,114,42,0,0.731,26000,166.667,42,114,0,0.269,-26000,-166.667
157,115,42,0,0.732,26100,166.242,42,115,0,0.268,-26100,-166.242
158,116,42,0,0.734,26700,168.987,42,116,0,0.266,-26700,-168.987
159,117,42,0,0.736,26900,169.182,42,117,0,0.264,-26900,-169.182
160,118,42,0,0.738,27000,168.75,42,118,0,0.263,-27000,-168.75
161,119,42,0,0.739,27600,171.429,42,119,0,0.261,-27600,-171.429
162,120,42,0,0.741,27800,171.605,42,120,0,0.259,-27800,-171.605
163,120,43,0,0.736,27700,169.939,43,120,0,0.264,-27700,-169.939
164,120,44,0,0.732,27300,166.463,44,120,0,0.268,-27300,-166.463
165,120,45,0,0.727,26900,163.03,45,120,0,0.273,-26900,-163.03
166,121,45,0,0.729,27100,163.253,45,121,0,0.271,-27100,-163.253
