Game Number,AI1 [NB] Wins,AI1 [NB] Losses,AI1 [NB] Draws,AI1 [NB] Win Percentage,AI1 [NB] Cumulative Game Reward,AI1 [NB] Reward/Game Average,AI2 [RANDOM] Wins,AI2 [RANDOM] Losses,AI2 [RANDOM] Draws,AI2 [RANDOM] Win Percentage,AI2 [RANDOM] Cumulative Game Reward,AI2 [RANDOM] Reward/Game Average
1,0,1,0,0,-100,-100,1,0,0,1,100,100
2,1,1,0,0.5,0,0,1,1,0,0.5,0,0
3,2,1,0,0.667,200,66.667,1,2,0,0.333,-200,-66.667
4,3,1,0,0.75,400,100,1,3,0,0.25,-400,-100
5,4,1,0,0.8,700,140,1,4,0,0.2,-700,-140
6,5,1,0,0.833,800,133.333,1,5,0,0.167,-800,-133.333
7,6,1,0,0.857,1200,171.429,1,6,0,0.143,-1200,-171.429
8,7,1,0,0.875,1700,212.5,1,7,0,0.125,-1700,-212.5
9,8,1,0,0.889,1800,200,1,8,0,0.111,-1800,-200
10,8,2,0,0.8,1600,160,2,8,0,0.2,-1600,-160
11,9,2,0,0.818,1700,154.545,2,9,0,0.182,-1700,-154.545
12,10,2,0,0.833,1900,158.333,2,10,0,0.167,-1900,-158.333
13,11,2,0,0.846,2200,169.231,2,11,0,0.154,-2200,-169.231
14,12,2,0,0.857,2500,178.571,2,12,0,0.143,-2500,-178.571
15,13,2,0,0.867,2600,173.333,2,13,0,0.133,-2600,-173.333
16,14,2,0,0.875,2800,175,2,14,0,0.125,-2800,-175
17,15,2,0,0.882,3000,176.471,2,15,0,0.118,-3000,-176.471
18,16,2,0,0.889,3100,172.222,2,16,0,0.111,-3100,-172.222
19,17,2,0,0.895,3500,184.211,2,17,0,0.105,-3500,-184.211
20,18,2,0,0.9,3800,190,2,18,0,0.1,-3800,-190
21,18,3,0,0.857,3600,171.429,3,18,0,0.143,-3600,-171.429
22,19,3,0,0.864,3800,172.727,3,19,0,0.136,-3800,-172.727
23,19,4,0,0.826,3500,152.174,4,19,0,0.174,-3500,-152.174
24,20,4,0,0.833,3700,154.167,4,20,0,0.167,-3700,-154.167
25,21,4,0,0.84,3900,156,4,21,0,0.16,-3900,-156
26,22,4,0,0.846,4100,157.692,4,22,0,0.154,-4100,-157.692
27,22,5,0,0.815,4000,148.148,5,22,0,0.185,-4000,-148.148
28,23,5,0,0.821,4200,150,5,23,0,0.179,-4200,-150
29,24,5,0,0.828,4500,155.172,5,24,0,0.172,-4500,-155.172
30,25,5,0,0.833,4600,153.333,5,25,0,0.167,-4600,-153.333
31,26,5,0,0.839,4700,151.613,5,26,0,0.161,-4700,-151.613
32,27,5,0,0.844,5100,159.375,5,27,0,0.156,-5100,-159.375
33,28,5,0,0.848,5200,157.576,5,28,0,0.152,-5200,-157.576
34,29,5,0,0.853,5400,158.824,5,29,0,0.147,-5400,-158.824
35,30,5,0,0.857,5600,160,5,30,0,0.143,-5600,-160
36,31,5,0,0.861,5700,158.333,5,31,0,0.139,-5700,-158.333
37,32,5,0,0.865,6100,164.865,5,32,0,0.135,-6100,-164.865
38,32,6,0,0.842,5900,155.263,6,32,0,0.158,-5900,-155.263
39,33,6,0,0.846,6100,156.41,6,33,0,0.154,-6100,-156.41
40,34,6,0,0.85,6300,157.5,6,34,0,0.15,-6300,-157.5
41,34,7,0,0.829,6200,151.22,7,34,0,0.171,-6200,-151.22
42,35,7,0,0.833,6300,150,7,35,0,0.167,-6300,-150
43,36,7,0,0.837,6500,151.163,7,36,0,0.163,-6500,-151.163
44,37,7,0,0.841,7000,159.091,7,37,0,0.159,-7000,-159.091
45,38,7,0,0.844,7200,160,7,38,0,0.156,-7200,-160
46,39,7,0,0.848,7400,160.87,7,39,0,0.152,-7400,-160.87
47,40,7,0,0.851,7700,163.83,7,40,0,0.149,-7700,-163.83
48,41,7,0,0.854,7900,164.583,7,41,0,0.146,-7900,-164.583
49,42,7,0,0.857,8100,165.306,7,42,0,0.143,-8100,-165.306
50,43,7,0,0.86,8400,168,7,43,0,0.14,-8400,-168
51,43,8,0,0.843,8300,162.745,8,43,0,0.157,-8300,-162.745
52,44,8,0,0.846,8500,163.462,8,44,0,0.154,-8500,-163.462
53,44,9,0,0.83,8400,158.491,9,44,0,0.17,-8400,-158.491
54,45,9,0,0.833,8700,161.111,9,45,0,0.167,-8700,-161.111
55,45,10,0,0.818,8400,152.727,10,45,0,0.182,-8400,-152.727
56,46,10,0,0.821,8800,157.143,10,46,0,0.179,-8800,-157.143
57,46,11,0,0.807,8700,152.632,11,46,0,0.193,-8700,-152.632
58,47,11,0,0.81,8900,153.448,11,47,0,0.19,-8900,-153.448
59,48,11,0,0.814,9100,154.237,11,48,0,0.186,-9100,-154.237
60,48,12,0,0.8,8900,148.333,12,48,0,0.2,-8900,-148.333
61,49,12,0,0.803,9100,149.18,12,49,0,0.197,-9100,-149.18
62,50,12,0,0.806,9400,151.613,12,50,0,0.194,-9400,-151.613
63,51,12,0,0.81,9600,152.381,12,51,0,0.19,-9600,-152.381
64,52,12,0,0.812,10000,156.25,12,52,0,0.188,-10000,-156.25
65,53,12,0,0.815,10100,155.385,12,53,0,0.185,-10100,-155.385
66,53,13,0,0.803,10000,151.515,13,53,0,0.197,-10000,-151.515
67,54,13,0,0.806,10100,150.746,13,54,0,0.194,-10100,-150.746
68,55,13,0,0.809,10300,151.471,13,55,0,0.191,-10300,-151.471
69,56,13,0,0.812,10500,152.174,13,56,0,0.188,-10500,-152.174
70,57,13,0,0.814,10900,155.714,13,57,0,0.186,-10900,-155.714
71,57,14,0,0.803,10800,152.113,14,57,0,0.197,-10800,-152.113
72,57,15,0,0.792,10600,147.222,15,57,0,0.208,-10600,-147.222
73,58,15,0,0.795,11200,153.425,15,58,0,0.205,-11200,-153.425
74,59,15,0,0.797,11400,154.054,15,59,0,0.203,-11400,-154.054
75,60,15,0,0.8,11600,154.667,15,60,0,0.2,-11600,-154.667
76,61,15,0,0.803,11700,153.947,15,61,0,0.197,-11700,-153.947
77,62,15,0,0.805,11900,154.545,15,62,0,0.195,-11900,-154.545
78,63,15,0,0.808,12200,156.41,15,63,0,0.192,-12200,-156.41
79,64,15,0,0.81,12400,156.962,15,64,0,0.19,-12400,-156.962
80,65,15,0,0.812,12500,156.25,15,65,0,0.188,-12500,-156.25
81,65,16,0,0.802,12300,151.852,16,65,0,0.198,-12300,-151.852
82,66,16,0,0.805,12500,152.439,16,66,0,0.195,-12500,-152.439
83,67,16,0,0.807,12600,151.807,16,67,0,0.193,-12600,-151.807
84,68,16,0,0.81,12900,153.571,16,68,0,0.19,-12900,-153.571
85,69,16,0,0.812,13400,157.647,16,69,0,0.188,-13400,-157.647
86,70,16,0,0.814,13600,158.14,16,70,0,0.186,-13600,-158.14
87,70,17,0,0.805,13100,150.575,17,70,0,0.195,-13100,-150.575
88,71,17,0,0.807,13500,153.409,17,71,0,0.193,-13500,-153.409
89,72,17,0,0.809,13600,152.809,17,72,0,0.191,-13600,-152.809
90,73,17,0,0.811,13800,153.333,17,73,0,0.189,-13800,-153.333
91,74,17,0,0.813,14000,153.846,17,74,0,0.187,-14000,-153.846
92,75,17,0,0.815,14200,154.348,17,75,0,0.185,-14200,-154.348
93,76,17,0,0.817,14400,154.839,17,76,0,0.183,-14400,-154.839
94,76,18,0,0.809,14100,150,18,76,0,0.191,-14100,-150
95,77,18,0,0.811,14400,151.579,18,77,0,0.189,-14400,-151.579
96,77,19,0,0.802,14200,147.917,19,77,0,0.198,-14200,-147.917
97,78,19,0,0.804,14600,150.515,19,78,0,0.196,-14600,-150.515
98,79,19,0,0.806,14700,150,19,79,0,0.194,-14700,-150
99,80,19,0,0.808,14900,150.505,19,80,0,0.192,-14900,-150.505
100,80,20,0,0.8,14800,148,20,80,0,0.2,-14800,-148
101,81,20,0,0.802,15100,149.505,20,81,0,0.198,-15100,-149.505
102,82,20,0,0.804,15700,153.922,20,82,0,0.196,-15700,-153.922
103,82,21,0,0.796,15600,151.456,21,82,0,0.204,-15600,-151.456
104,83,21,0,0.798,15700,150.962,21,83,0,0.202,-15700,-150.962
105,84,21,0,0.8,15900,151.429,21,84,0,0.2,-15900,-151.429
106,85,21,0,0.802,16000,150.943,21,85,0,0.198,-16000,-150.943
107,86,21,0,0.804,16200,151.402,21,86,0,0.196,-16200,-151.402
108,87,21,0,0.806,16400,151.852,21,87,0,0.194,-16400,-151.852
109,88,21,0,0.807,16600,152.294,21,88,0,0.193,-16600,-152.294
110,88,22,0,0.8,16400,149.091,22,88,0,0.2,-16400,-149.091
111,89,22,0,0.802,16600,149.55,22,89,0,0.198,-16600,-149.55
112,90,22,0,0.804,17000,151.786,22,90,0,0.196,-17000,-151.786
113,91,22,0,0.805,17200,152.212,22,91,0,0.195,-17200,-152.212
114,92,22,0,0.807,17400,152.632,22,92,0,0.193,-17400,-152.632
115,93,22,0,0.809,17600,153.043,22,93,0,0.191,-17600,-153.043
116,94,22,0,0.81,17700,152.586,22,94,0,0.19,-17700,-152.586
117,95,22,0,0.812,18000,153.846,22,95,0,0.188,-18000,-153.846
118,96,22,0,0.814,18100,153.39,22,96,0,0.186,-18100,-153.39
119,96,23,0,0.807,18000,151.261,23,96,0,0.193,-18000,-151.261
120,96,24,0,0.8,17700,147.5,24,96,0,0.2,-17700,-147.5
121,97,24,0,0.802,18000,148.76,24,97,0,0.198,-18000,-148.76
122,98,24,0,0.803,18200,149.18,24,98,0,0.197,-18200,-149.18
123,99,24,0,0.805,18500,150.407,24,99,0,0.195,-18500,-150.407
124,100,24,0,0.806,18600,150,24,100,0,0.194,-18600,-150
125,101,24,0,0.808,19000,152,24,101,0,0.192,-19000,-152
