Game Number,AI1 [RANDOM] Wins,AI1 [RANDOM] Losses,AI1 [RANDOM] Draws,AI1 [RANDOM] Win Percentage,AI1 [RANDOM] Cumulative Game Reward,AI1 [RANDOM] Reward/Game Average,AI2 [EV] Wins,AI2 [EV] Losses,AI2 [EV] Draws,AI2 [EV] Win Percentage,AI2 [EV] Cumulative Game Reward,AI2 [EV] Reward/Game Average
1,0,1,0,0,-100,-100,1,0,0,1,100,100
2,0,2,0,0,-300,-150,2,0,0,1,300,150
3,0,3,0,0,-500,-166.667,3,0,0,1,500,166.667
4,0,4,0,0,-700,-175,4,0,0,1,700,175
5,0,5,0,0,-1384,-276.8,5,0,0,1,1384,276.8
6,0,6,0,0,-1584,-264,6,0,0,1,1584,264
7,0,7,0,0,-2060,-294.286,7,0,0,1,2060,294.286
8,0,8,0,0,-2360,-295,8,0,0,1,2360,295
9,0,9,0,0,-2560,-284.444,9,0,0,1,2560,284.444
10,0,10,0,0,-2960,-296,10,0,0,1,2960,296
11,0,11,0,0,-3500,-318.182,11,0,0,1,3500,318.182
12,0,12,0,0,-3700,-308.333,12,0,0,1,3700,308.333
13,0,13,0,0,-4000,-307.692,13,0,0,1,4000,307.692
14,0,14,0,0,-4400,-314.286,14,0,0,1,4400,314.286
15,0,15,0,0,-4500,-300,15,0,0,1,4500,300
16,1,15,0,0.062,-3525,-220.312,15,1,0,0.938,3525,220.312
17,1,16,0,0.059,-3725,-219.118,16,1,0,0.941,3725,219.118
18,1,17,0,0.056,-4025,-223.611,17,1,0,0.944,4025,223.611
19,2,17,0,0.105,-3925,-206.579,17,2,0,0.895,3925,206.579
20,2,18,0,0.1,-4225,-211.25,18,2,0,0.9,4225,211.25
21,2,19,0,0.095,-4625,-220.238,19,2,0,0.905,4625,220.238
22,3,19,0,0.136,-4525,-205.682,19,3,0,0.864,4525,205.682
23,3,20,0,0.13,-4725,-205.435,20,3,0,0.87,4725,205.435
24,3,21,0,0.125,-4825,-201.042,21,3,0,0.875,4825,201.042
25,4,21,0,0.16,-4253,-170.12,21,4,0,0.84,4253,170.12
26,4,22,0,0.154,-4353,-167.423,22,4,0,0.846,4353,167.423
27,4,23,0,0.148,-4553,-168.63,23,4,0,0.852,4553,168.63
28,4,24,0,0.143,-4653,-166.179,24,4,0,0.857,4653,166.179
29,4,25,0,0.138,-4853,-167.345,25,4,0,0.862,4853,167.345
30,4,26,0,0.133,-5253,-175.1,26,4,0,0.867,5253,175.1
31,4,27,0,0.129,-6117,-197.323,27,4,0,0.871,6117,197.323
32,4,28,0,0.125,-6317,-197.406,28,4,0,0.875,6317,197.406
