Game Number,AI1 [RANDOM] Wins,AI1 [RANDOM] Losses,AI1 [RANDOM] Draws,AI1 [RANDOM] Win Percentage,AI1 [RANDOM] Cumulative Game Reward,AI1 [RANDOM] Reward/Game Average,AI2 [QL] Wins,AI2 [QL] Losses,AI2 [QL] Draws,AI2 [QL] Win Percentage,AI2 [QL] Cumulative Game Reward,AI2 [QL] Reward/Game Average
1,1,0,0,1,100,100,0,1,0,0,-100,-100
2,2,0,0,1,300,150,0,2,0,0,-300,-150
3,2,1,0,0.667,-200,-66.667,1,2,0,0.333,200,66.667
4,2,2,0,0.5,-800,-200,2,2,0,0.5,800,200
5,2,3,0,0.4,-900,-180,3,2,0,0.6,900,180
6,2,4,0,0.333,-1000,-166.667,4,2,0,0.667,1000,166.667
7,3,4,0,0.429,-700,-100,4,3,0,0.571,700,100
8,4,4,0,0.5,100,12.5,4,4,0,0.5,-100,-12.5
9,4,5,0,0.444,-400,-44.444,5,4,0,0.556,400,44.444
10,5,5,0,0.5,-200,-20,5,5,0,0.5,200,20
11,6,5,0,0.545,0,0,5,6,0,0.455,0,0
12,7,5,0,0.583,300,25,5,7,0,0.417,-300,-25
13,8,5,0,0.615,600,46.154,5,8,0,0.385,-600,-46.154
14,9,5,0,0.643,1000,71.429,5,9,0,0.357,-1000,-71.429
15,9,6,0,0.6,500,33.333,6,9,0,0.4,-500,-33.333
16,10,6,0,0.625,1000,62.5,6,10,0,0.375,-1000,-62.5
17,10,7,0,0.588,700,41.176,7,10,0,0.412,-700,-41.176
18,10,8,0,0.556,400,22.222,8,10,0,0.444,-400,-22.222
19,11,8,0,0.579,500,26.316,8,11,0,0.421,-500,-26.316
20,11,9,0,0.55,400,20,9,11,0,0.45,-400,-20
21,12,9,0,0.571,900,42.857,9,12,0,0.429,-900,-42.857
22,13,9,0,0.591,1400,63.636,9,13,0,0.409,-1400,-63.636
23,14,9,0,0.609,1800,78.261,9,14,0,0.391,-1800,-78.261
24,15,9,0,0.625,2000,83.333,9,15,0,0.375,-2000,-83.333
25,15,10,0,0.6,1800,72,10,15,0,0.4,-1800,-72
26,15,11,0,0.577,1700,65.385,11,15,0,0.423,-1700,-65.385
27,15,12,0,0.556,1500,55.556,12,15,0,0.444,-1500,-55.556
28,15,13,0,0.536,1400,50,13,15,0,0.464,-1400,-50
29,16,13,0,0.552,1500,51.724,13,16,0,0.448,-1500,-51.724
30,17,13,0,0.567,1600,53.333,13,17,0,0.433,-1600,-53.333
31,17,14,0,0.548,1400,45.161,14,17,0,0.452,-1400,-45.161
32,17,15,0,0.531,800,25,15,17,0,0.469,-800,-25
33,18,15,0,0.545,1000,30.303,15,18,0,0.455,-1000,-30.303
34,18,16,0,0.529,900,26.471,16,18,0,0.471,-900,-26.471
35,18,17,0,0.514,600,17.143,17,18,0,0.486,-600,-17.143
36,18,18,0,0.5,500,13.889,18,18,0,0.5,-500,-13.889
37,18,19,0,0.486,300,8.108,19,18,0,0.514,-300,-8.108
38,19,19,0,0.5,400,10.526,19,19,0,0.5,-400,-10.526
39,19,20,0,0.487,300,7.692,20,19,0,0.513,-300,-7.692
40,19,21,0,0.475,100,2.5,21,19,0,0.525,-100,-2.5
41,20,21,0,0.488,200,4.878,21,20,0,0.512,-200,-4.878
42,20,22,0,0.476,-300,-7.143,22,20,0,0.524,300,7.143
43,20,23,0,0.465,-400,-9.302,23,20,0,0.535,400,9.302
44,21,23,0,0.477,-200,-4.545,23,21,0,0.523,200,4.545
45,21,24,0,0.467,-400,-8.889,24,21,0,0.533,400,8.889
46,21,25,0,0.457,-600,-13.043,25,21,0,0.543,600,13.043
47,21,26,0,0.447,-700,-14.894,26,21,0,0.553,700,14.894
48,22,26,0,0.458,-600,-12.5,26,22,0,0.542,600,12.5
49,23,26,0,0.469,-400,-8.163,26,23,0,0.531,400,8.163
50,23,27,0,0.46,-500,-10,27,23,0,0.54,500,10
51,24,27,0,0.471,-400,-7.843,27,24,0,0.529,400,7.843
52,24,28,0,0.462,-1200,-23.077,28,24,0,0.538,1200,23.077
53,25,28,0,0.472,-1000,-18.868,28,25,0,0.528,1000,18.868
54,25,29,0,0.463,-1500,-27.778,29,25,0,0.537,1500,27.778
55,25,30,0,0.455,-2300,-41.818,30,25,0,0.545,2300,41.818
56,25,31,0,0.446,-2600,-46.429,31,25,0,0.554,2600,46.429
57,26,31,0,0.456,-2400,-42.105,31,26,0,0.544,2400,42.105
58,27,31,0,0.466,-2100,-36.207,31,27,0,0.534,2100,36.207
59,28,31,0,0.475,-2000,-33.898,31,28,0,0.525,2000,33.898
60,29,31,0,0.483,-1800,-30,31,29,0,0.517,1800,30
61,29,32,0,0.475,-1900,-31.148,32,29,0,0.525,1900,31.148
62,29,33,0,0.468,-2100,-33.871,33,29,0,0.532,2100,33.871
63,29,34,0,0.46,-2700,-42.857,34,29,0,0.54,2700,42.857
64,29,35,0,0.453,-2800,-43.75,35,29,0,0.547,2800,43.75
65,29,36,0,0.446,-3000,-46.154,36,29,0,0.554,3000,46.154
66,29,37,0,0.439,-3100,-46.97,37,29,0,0.561,3100,46.97
67,29,38,0,0.433,-3500,-52.239,38,29,0,0.567,3500,52.239
68,30,38,0,0.441,-3200,-47.059,38,30,0,0.559,3200,47.059
69,30,39,0,0.435,-3400,-49.275,39,30,0,0.565,3400,49.275
70,31,39,0,0.443,-3300,-47.143,39,31,0,0.557,3300,47.143
71,31,40,0,0.437,-3400,-47.887,40,31,0,0.563,3400,47.887
72,31,41,0,0.431,-3700,-51.389,41,31,0,0.569,3700,51.389
73,31,42,0,0.425,-3900,-53.425,42,31,0,0.575,3900,53.425
74,32,42,0,0.432,-3700,-50,42,32,0,0.568,3700,50
75,32,43,0,0.427,-4000,-53.333,43,32,0,0.573,4000,53.333
76,33,43,0,0.434,-3800,-50,43,33,0,0.566,3800,50
77,33,44,0,0.429,-4000,-51.948,44,33,0,0.571,4000,51.948
78,33,45,0,0.423,-4100,-52.564,45,33,0,0.577,4100,52.564
79,33,46,0,0.418,-4700,-59.494,46,33,0,0.582,4700,59.494
80,34,46,0,0.425,-4400,-55,46,34,0,0.575,4400,55
81,34,47,0,0.42,-4600,-56.79,47,34,0,0.58,4600,56.79
82,34,48,0,0.415,-4800,-58.537,48,34,0,0.585,4800,58.537
83,34,49,0,0.41,-5000,-60.241,49,34,0,0.59,5000,60.241
84,35,49,0,0.417,-4900,-58.333,49,35,0,0.583,4900,58.333
85,35,50,0,0.412,-5300,-62.353,50,35,0,0.588,5300,62.353
86,35,51,0,0.407,-5600,-65.116,51,35,0,0.593,5600,65.116
87,35,52,0,0.402,-5800,-66.667,52,35,0,0.598,5800,66.667
88,35,53,0,0.398,-6000,-68.182,53,35,0,0.602,6000,68.182
89,36,53,0,0.404,-5600,-62.921,53,36,0,0.596,5600,62.921
90,36,54,0,0.4,-5700,-63.333,54,36,0,0.6,5700,63.333
91,36,55,0,0.396,-5800,-63.736,55,36,0,0.604,5800,63.736
92,36,56,0,0.391,-6000,-65.217,56,36,0,0.609,6000,65.217
93,37,56,0,0.398,-5900,-63.441,56,37,0,0.602,5900,63.441
94,37,57,0,0.394,-6100,-64.894,57,37,0,0.606,6100,64.894
95,38,57,0,0.4,-5900,-62.105,57,38,0,0.6,5900,62.105
96,38,58,0,0.396,-6200,-64.583,58,38,0,0.604,6200,64.583
97,38,59,0,0.392,-6700,-69.072,59,38,0,0.608,6700,69.072
98,38,60,0,0.388,-6900,-70.408,60,38,0,0.612,6900,70.408
99,39,60,0,0.394,-6700,-67.677,60,39,0,0.606,6700,67.677
100,39,61,0,0.39,-6800,-68,61,39,0,0.61,6800,68
101,39,62,0,0.386,-7000,-69.307,62,39,0,0.614,7000,69.307
102,39,63,0,0.382,-7100,-69.608,63,39,0,0.618,7100,69.608
103,39,64,0,0.379,-7200,-69.903,64,39,0,0.621,7200,69.903
104,39,65,0,0.375,-7400,-71.154,65,39,0,0.625,7400,71.154
105,39,66,0,0.371,-7600,-72.381,66,39,0,0.629,7600,72.381
106,40,66,0,0.377,-7500,-70.755,66,40,0,0.623,7500,70.755
107,40,67,0,0.374,-7900,-73.832,67,40,0,0.626,7900,73.832
108,40,68,0,0.37,-8000,-74.074,68,40,0,0.63,8000,74.074
109,41,68,0,0.376,-7400,-67.89,68,41,0,0.624,7400,67.89
110,41,69,0,0.373,-7600,-69.091,69,41,0,0.627,7600,69.091
111,42,69,0,0.378,-7000,-63.063,69,42,0,0.622,7000,63.063
112,42,70,0,0.375,-7200,-64.286,70,42,0,0.625,7200,64.286
113,42,71,0,0.372,-7600,-67.257,71,42,0,0.628,7600,67.257
114,43,71,0,0.377,-7400,-64.912,71,43,0,0.623,7400,64.912
115,43,72,0,0.374,-7800,-67.826,72,43,0,0.626,7800,67.826
116,43,73,0,0.371,-8100,-69.828,73,43,0,0.629,8100,69.828
117,44,73,0,0.376,-7300,-62.393,73,44,0,0.624,7300,62.393
118,45,73,0,0.381,-7100,-60.169,73,45,0,0.619,7100,60.169
