Position,Previous_Action,Strength,Action,Result 
BB,0,HIGH_CARD,Check,-4750
BB,1,ONE_PAIR,Check,-22825
BB,1,ONE_PAIR,Call,-22825
BB,0,HIGH_CARD,Check,-19200
BB,0,HIGH_CARD,Call,-19200
SB,0,ONE_PAIR,Raise,54233
SB,0,HIGH_CARD,Call,55725
SB,1,HIGH_CARD,Raise,-64553
BB,1,ONE_PAIR,Raise,19776
BB,1,HIGH_CARD,Raise,17292
SB,1,ONE_PAIR,Check,4750
SB,0,ONE_PAIR,Raise,22825
SB,1,HIGH_CARD,Raise,19200
BB,1,HIGH_CARD,Check,-54233
BB,1,HIGH_CARD,Call,-54233
BB,1,ONE_PAIR,Raise,-55725
BB,0,ONE_PAIR,Check,64553
BB,0,ONE_PAIR,Call,64553
SB,0,HIGH_CARD,Call,-19776
SB,0,ONE_PAIR,Call,-17292
BB,0,HIGH_CARD,Fold,-45
BB,0,HIGH_CARD,Call,-90
BB,0,HIGH_CARD,Check,150
BB,0,HIGH_CARD,Call,150
BB,0,HIGH_CARD,Check,150
BB,0,HIGH_CARD,Call,150
SB,0,ONE_PAIR,Check,-140
SB,0,ONE_PAIR,Check,-210
BB,1,ONE_PAIR,Raise,-500
BB,1,ONE_PAIR,Raise,-470
SB,1,THREE_OF_A_KIND,Call,315
SB,1,THREE_OF_A_KIND,Reraise,450
BB,0,ONE_PAIR,Check,20
BB,0,HIGH_CARD,Check,-20
SB,1,ONE_PAIR,Raise,80
BB,1,HIGH_CARD,Raise,50
SB,1,HIGH_CARD,Raise,45
BB,0,ONE_PAIR,Check,-48
BB,1,HIGH_CARD,Raise,50
SB,1,ONE_PAIR,Call,-130
SB,1,ONE_PAIR,Call,-200
SB,1,ONE_PAIR,Call,-165
SB,1,ONE_PAIR,Raise,45
BB,1,HIGH_CARD,Raise,55
SB,1,HIGH_CARD,Fold,-45
SB,1,HIGH_CARD,Call,-195
BB,0,HIGH_CARD,Check,60
SB,1,HIGH_CARD,Raise,225
SB,0,HIGH_CARD,Fold,-40
SB,1,HIGH_CARD,Check,-135
BB,0,HIGH_CARD,Check,-170
BB,0,HIGH_CARD,Call,-170
SB,0,HIGH_CARD,Raise,20
BB,0,HIGH_CARD,Check,-190
BB,0,HIGH_CARD,Call,-190
BB,1,HIGH_CARD,Raise,50
SB,0,ONE_PAIR,Reraise,82
SB,1,ONE_PAIR,Raise,734
SB,1,ONE_PAIR,Reraise,734
BB,0,HIGH_CARD,Check,-20
BB,0,HIGH_CARD,Fold,-20
SB,1,HIGH_CARD,Fold,-45
SB,1,HIGH_CARD,Fold,-45
BB,1,HIGH_CARD,Raise,85
SB,1,TWO_PAIR,Check,537
BB,1,ONE_PAIR,Raise,150
SB,1,HIGH_CARD,Call,175
BB,1,ONE_PAIR,Raise,45
BB,0,ONE_PAIR,Check,50
BB,0,ONE_PAIR,Call,50
SB,1,HIGH_CARD,Raise,45
SB,0,HIGH_CARD,Fold,-70
BB,0,HIGH_CARD,Check,70
BB,0,HIGH_CARD,Call,70
SB,1,TWO_PAIR,Raise,320
BB,0,HIGH_CARD,Check,-50
BB,0,HIGH_CARD,Fold,-50
BB,1,THREE_OF_A_KIND,Raise,110
BB,1,TWO_PAIR,Check,450
BB,1,TWO_PAIR,Call,450
SB,1,HIGH_CARD,Call,0
BB,0,HIGH_CARD,Raise,-45
SB,0,ONE_PAIR,Reraise,-420
SB,0,ONE_PAIR,Fold,-420
BB,1,HIGH_CARD,Check,50
SB,0,ONE_PAIR,Check,-375
SB,1,ONE_PAIR,Raise,45
BB,0,HIGH_CARD,Check,-120
BB,0,HIGH_CARD,Call,-120
BB,1,ONE_PAIR,Raise,50
SB,1,HIGH_CARD,Fold,-270
BB,1,HIGH_CARD,Raise,45
SB,0,ONE_PAIR,Call,320
BB,0,HIGH_CARD,Check,-40
BB,0,HIGH_CARD,Call,-40
SB,0,HIGH_CARD,Call,-453
BB,0,ONE_PAIR,Check,303
BB,0,ONE_PAIR,Call,303
SB,0,HIGH_CARD,Call,-95
SB,0,HIGH_CARD,Reraise,-195
BB,0,ONE_PAIR,Check,90
BB,0,ONE_PAIR,Call,90
BB,1,HIGH_CARD,Raise,50
SB,1,HIGH_CARD,Raise,45
SB,0,ONE_PAIR,Reraise,-180
BB,0,HIGH_CARD,Check,20
SB,0,HIGH_CARD,Fold,-20
BB,0,ONE_PAIR,Raise,165
BB,0,ONE_PAIR,Raise,300
SB,0,HIGH_CARD,Check,20
SB,1,THREE_OF_A_KIND,Raise,90
BB,0,HIGH_CARD,Check,-40
BB,0,HIGH_CARD,Check,-20
BB,0,HIGH_CARD,Check,-100
SB,1,ONE_PAIR,Raise,45
BB,1,HIGH_CARD,Raise,-295
BB,1,HIGH_CARD,Raise,-185
BB,1,HIGH_CARD,Check,-195
BB,1,HIGH_CARD,Call,-195
SB,1,HIGH_CARD,Check,-85
BB,0,HIGH_CARD,Check,140
BB,0,HIGH_CARD,Call,140
BB,0,HIGH_CARD,Check,40
BB,0,HIGH_CARD,Call,40
SB,0,HIGH_CARD,Call,-40
SB,0,HIGH_CARD,Fold,-20
BB,0,HIGH_CARD,Check,-100
BB,0,HIGH_CARD,Call,-100
BB,0,ONE_PAIR,Raise,-60
BB,0,ONE_PAIR,Call,-60
BB,0,ONE_PAIR,Check,-40
BB,0,ONE_PAIR,Call,-40
SB,0,HIGH_CARD,Raise,410
SB,0,HIGH_CARD,Raise,-190
SB,0,HIGH_CARD,Raise,370
BB,0,ONE_PAIR,Check,375
BB,0,ONE_PAIR,Call,375
BB,0,ONE_PAIR,Check,210
BB,0,ONE_PAIR,Call,210
BB,0,ONE_PAIR,Check,210
BB,0,ONE_PAIR,Call,210
SB,1,HIGH_CARD,Raise,45
SB,1,HIGH_CARD,Raise,90
SB,1,HIGH_CARD,Raise,-150
BB,1,ONE_PAIR,Raise,140
BB,1,ONE_PAIR,Raise,210
SB,0,ONE_PAIR,Call,500
SB,0,ONE_PAIR,Call,470
BB,0,ONE_PAIR,Raise,-315
BB,1,ONE_PAIR,Raise,-450
BB,1,ONE_PAIR,Call,-450
SB,0,ONE_PAIR,Check,-20
SB,0,HIGH_CARD,Check,20
BB,0,HIGH_CARD,Check,-80
BB,0,HIGH_CARD,Call,-80
SB,0,ONE_PAIR,Call,200
SB,0,ONE_PAIR,Call,-90
SB,0,ONE_PAIR,Fold,-50
BB,0,HIGH_CARD,Check,-45
BB,0,HIGH_CARD,Fold,-45
SB,1,TWO_PAIR,Raise,50
SB,0,TWO_PAIR,Check,48
SB,0,HIGH_CARD,Call,105
SB,0,HIGH_CARD,Call,50
SB,0,HIGH_CARD,Call,-50
BB,0,HIGH_CARD,Raise,130
BB,0,HIGH_CARD,Raise,200
BB,0,HIGH_CARD,Raise,165
BB,0,HIGH_CARD,Fold,-45
SB,0,HIGH_CARD,Fold,-55
BB,0,ONE_PAIR,Raise,45
BB,0,ONE_PAIR,Raise,195
SB,1,HIGH_CARD,Raise,60
SB,1,HIGH_CARD,Check,-60
BB,0,HIGH_CARD,Check,-225
BB,0,HIGH_CARD,Call,-225
BB,0,HIGH_CARD,Check,-165
BB,0,HIGH_CARD,Call,-165
BB,1,HIGH_CARD,Raise,40
BB,0,HIGH_CARD,Raise,135
SB,1,ONE_PAIR,Raise,-170
SB,1,ONE_PAIR,Raise,170
BB,0,ONE_PAIR,Fold,-20
SB,1,ONE_PAIR,Raise,190
SB,0,HIGH_CARD,Raise,-50
BB,1,ONE_PAIR,Raise,180
BB,1,ONE_PAIR,Call,180
BB,1,ONE_PAIR,Raise,-82
BB,1,ONE_PAIR,Fold,-82
BB,0,ONE_PAIR,Check,-475
BB,0,ONE_PAIR,Raise,-475
BB,0,ONE_PAIR,Call,-475
BB,0,ONE_PAIR,Check,-734
BB,0,ONE_PAIR,Raise,-734
BB,0,ONE_PAIR,Call,-734
SB,0,ONE_PAIR,Raise,20
BB,0,HIGH_CARD,Raise,45
BB,0,HIGH_CARD,Raise,45
SB,0,HIGH_CARD,Call,-85
BB,0,ONE_PAIR,Check,-290
BB,0,ONE_PAIR,Check,-537
SB,0,HIGH_CARD,Call,150
SB,0,HIGH_CARD,Call,-150
BB,0,HIGH_CARD,Check,-650
BB,0,HIGH_CARD,Reraise,-650
BB,0,HIGH_CARD,Raise,-175
SB,0,HIGH_CARD,Raise,-45
SB,0,HIGH_CARD,Raise,-50
BB,0,HIGH_CARD,Check,-45
BB,0,HIGH_CARD,Fold,-45
BB,1,ONE_PAIR,Raise,70
SB,1,HIGH_CARD,Raise,70
SB,1,HIGH_CARD,Raise,-70
BB,0,ONE_PAIR,Check,-320
BB,0,ONE_PAIR,Call,-320
SB,1,ONE_PAIR,Raise,50
SB,0,ONE_PAIR,Fold,-110
SB,0,HIGH_CARD,Raise,-450
BB,0,HIGH_CARD,Call,0
SB,0,HIGH_CARD,Call,45
BB,1,TWO_PAIR,Raise,420
BB,1,TWO_PAIR,Reraise,420
SB,0,HIGH_CARD,Check,-50
BB,1,TWO_PAIR,Check,375
BB,0,ONE_PAIR,Check,-45
BB,0,ONE_PAIR,Fold,-45
SB,1,ONE_PAIR,Raise,120
SB,0,HIGH_CARD,Fold,-50
BB,0,HIGH_CARD,Raise,270
SB,0,HIGH_CARD,Fold,-45
BB,0,ONE_PAIR,Raise,-200
SB,0,ONE_PAIR,Raise,40
BB,1,ONE_PAIR,Raise,453
SB,1,ONE_PAIR,Raise,-303
BB,0,HIGH_CARD,Raise,95
BB,1,ONE_PAIR,Raise,195
BB,1,ONE_PAIR,Call,195
SB,0,HIGH_CARD,Raise,-90
SB,0,ONE_PAIR,Fold,-50
BB,0,HIGH_CARD,Fold,-45
BB,1,ONE_PAIR,Raise,180
BB,1,ONE_PAIR,Call,180
SB,0,HIGH_CARD,Check,-20
BB,0,ONE_PAIR,Raise,20
SB,1,HIGH_CARD,Call,-165
SB,1,HIGH_CARD,Call,-300
BB,0,HIGH_CARD,Check,-20
BB,0,TWO_PAIR,Check,-90
BB,0,TWO_PAIR,Call,-90
SB,0,ONE_PAIR,Check,40
SB,0,ONE_PAIR,Check,20
SB,1,ONE_PAIR,Check,100
BB,0,ONE_PAIR,Check,-45
BB,0,ONE_PAIR,Fold,-45
SB,0,ONE_PAIR,Call,295
SB,0,ONE_PAIR,Call,185
SB,1,ONE_PAIR,Raise,225
BB,0,HIGH_CARD,Check,85
SB,1,ONE_PAIR,Raise,-140
SB,0,ONE_PAIR,Raise,-40
BB,0,FLUSH,Raise,40
BB,0,FLUSH,Raise,20
SB,1,HIGH_CARD,Raise,100
SB,1,ONE_PAIR,Reraise,120
SB,0,ONE_PAIR,Raise,40
BB,1,ONE_PAIR,Check,-410
BB,1,ONE_PAIR,Call,-410
BB,1,ONE_PAIR,Check,350
BB,1,ONE_PAIR,Call,350
BB,1,ONE_PAIR,Raise,150
BB,1,ONE_PAIR,Check,-175
BB,1,ONE_PAIR,Call,-175
SB,1,HIGH_CARD,Raise,-210
BB,1,ONE_PAIR,Raise,-650
BB,1,ONE_PAIR,Raise,-1000
BB,1,ONE_PAIR,Raise,1000
SB,0,FLUSH,Call,1000
SB,0,FLUSH,Call,650
SB,0,FLUSH,Call,650
BB,1,ONE_PAIR,Raise,775
SB,0,THREE_OF_A_KIND,Reraise,-1250
SB,1,HIGH_CARD,Raise,1600
BB,1,THREE_OF_A_KIND,Raise,-1500
SB,0,THREE_OF_A_KIND,Call,950
BB,0,THREE_OF_A_KIND,Check,1110
BB,0,THREE_OF_A_KIND,Call,1110
SB,1,THREE_OF_A_KIND,Raise,-1100
BB,1,THREE_OF_A_KIND,Raise,-1000
BB,1,THREE_OF_A_KIND,Raise,1500
SB,1,THREE_OF_A_KIND,Raise,1500
BB,1,HIGH_CARD,Raise,1100
SB,1,HIGH_CARD,Raise,950
BB,0,HIGH_CARD,Check,-1200
BB,0,HIGH_CARD,Call,-1200
BB,0,HIGH_CARD,Check,-900
BB,0,HIGH_CARD,Call,-900
BB,0,HIGH_CARD,Check,750
BB,0,HIGH_CARD,Call,750
SB,1,HIGH_CARD,Raise,950
SB,1,HIGH_CARD,Raise,-700
SB,1,HIGH_CARD,Raise,500
BB,1,HIGH_CARD,Raise,800
BB,1,HIGH_CARD,Call,800
BB,1,HIGH_CARD,Raise,-800
BB,1,HIGH_CARD,Call,-800
SB,0,HIGH_CARD,Call,800
SB,0,HIGH_CARD,Call,450
BB,0,ONE_PAIR,Check,-1200
BB,0,ONE_PAIR,Call,-1200
SB,1,ONE_PAIR,Raise,-750
SB,0,THREE_OF_A_KIND,Call,-775
BB,1,TWO_PAIR,Raise,1250
BB,0,ONE_PAIR,Check,-1600
SB,0,STRAIGHT,Call,1500
BB,1,TWO_PAIR,Raise,-950
SB,1,TWO_PAIR,Raise,-1110
BB,0,TWO_PAIR,Check,1100
BB,0,TWO_PAIR,Call,1100
SB,0,STRAIGHT,Call,1000
SB,0,ONE_PAIR,Call,-1500
BB,0,ONE_PAIR,Check,-1500
