Position,Previous_Action,Strength,Action,Result
BB,0,HIGH_CARD,Check,-4750
BB,0,HIGH_CARD,Reraise,-4750
BB,0,TWO_PAIR,Raise,-22825
BB,0,TWO_PAIR,Call,-22825
BB,0,HIGH_CARD,Check,-19200
BB,0,HIGH_CARD,Fold,-19200
SB,1,FLUSH,All In,54233
SB,0,FLUSH,Call,55725
SB,1,TWO_PAIR,All In,-64553
BB,1,TWO_PAIR,All In,19776
BB,1,HIGH_CARD,All In,17292
SB,0,ONE_PAIR,Raise,4750
SB,0,ONE_PAIR,Call,4750
SB,0,FLUSH,Reraise,22825
SB,1,HIGH_CARD,Raise,19200
BB,0,STRAIGHT,Check,-54233
BB,0,STRAIGHT,Call,-54233
BB,1,TWO_PAIR,Raise,-55725
BB,0,FULL_HOUSE,Check,64553
BB,0,FULL_HOUSE,Call,64553
SB,0,ONE_PAIR,Fold,-19776
SB,0,ONE_PAIR,Fold,-17292
BB,0,HIGH_CARD,Check,-90
BB,0,HIGH_CARD,Fold,-90
BB,0,HIGH_CARD,Raise,150
BB,0,HIGH_CARD,Raise,150
SB,0,TWO_PAIR,Check,-140
SB,0,TWO_PAIR,Call,-140
SB,1,TWO_PAIR,Raise,-210
SB,1,TWO_PAIR,Fold,-210
BB,0,FULL_HOUSE,Check,-500
BB,0,FULL_HOUSE,Call,-500
BB,1,FULL_HOUSE,Check,-470
BB,1,FULL_HOUSE,Call,-470
SB,0,FULL_HOUSE,Call,315
SB,0,FULL_HOUSE,Call,450
BB,0,TWO_PAIR,Check,-48
BB,0,TWO_PAIR,Fold,-48
SB,1,TWO_PAIR,Call,-200
SB,0,TWO_PAIR,Call,-165
SB,0,HIGH_CARD,Raise,-195
SB,1,TWO_PAIR,Call,225
BB,0,ONE_PAIR,Check,-170
BB,0,ONE_PAIR,Reraise,-170
BB,0,ONE_PAIR,Raise,-190
BB,0,ONE_PAIR,Raise,85
BB,0,ONE_PAIR,Check,150
SB,1,TWO_PAIR,Raise,175
BB,0,TWO_PAIR,Raise,50
BB,0,ONE_PAIR,Check,70
BB,0,TWO_PAIR,All In,450
SB,0,ONE_PAIR,Check,0
SB,1,ONE_PAIR,Raise,-375
SB,1,ONE_PAIR,Fold,-375
BB,0,TWO_PAIR,Check,-120
SB,0,THREE_OF_A_KIND,Raise,320
SB,0,HIGH_CARD,Raise,-453
SB,0,HIGH_CARD,Fold,-453
BB,0,FULL_HOUSE,Raise,303
SB,0,ONE_PAIR,Raise,-95
BB,0,ONE_PAIR,Check,90
BB,0,ONE_PAIR,Reraise,90
SB,0,ONE_PAIR,Raise,-180
BB,0,FLUSH,Check,165
BB,0,FLUSH,Raise,300
SB,0,ONE_PAIR,Raise,20
BB,0,HIGH_CARD,Check,-40
BB,0,HIGH_CARD,Fold,-40
BB,1,HIGH_CARD,Check,-100
BB,1,HIGH_CARD,Fold,-100
BB,0,STRAIGHT,Raise,140
SB,1,TWO_PAIR,Raise,410
SB,1,TWO_PAIR,Check,-190
SB,1,TWO_PAIR,Fold,-190
SB,1,TWO_PAIR,Check,370
SB,1,TWO_PAIR,Call,370
BB,0,TWO_PAIR,Check,375
BB,0,TWO_PAIR,Raise,375
BB,0,TWO_PAIR,Check,210
BB,0,TWO_PAIR,Raise,210
BB,0,TWO_PAIR,Check,210
BB,0,TWO_PAIR,Call,210
SB,0,ONE_PAIR,Raise,90
SB,0,ONE_PAIR,Fold,-150
BB,0,THREE_OF_A_KIND,Raise,140
BB,0,THREE_OF_A_KIND,Reraise,210
SB,1,FULL_HOUSE,Raise,500
SB,0,FULL_HOUSE,Reraise,470
BB,1,TWO_PAIR,Raise,-315
BB,0,TWO_PAIR,Raise,-450
SB,0,ONE_PAIR,Call,200
SB,0,TWO_PAIR,Raise,48
BB,0,STRAIGHT,Raise,200
BB,0,STRAIGHT,Raise,165
BB,0,ONE_PAIR,Check,195
BB,0,ONE_PAIR,Call,195
BB,0,ONE_PAIR,Raise,-225
SB,0,TWO_PAIR,Raise,-170
SB,0,TWO_PAIR,Fold,-170
SB,0,TWO_PAIR,Raise,170
SB,0,TWO_PAIR,Call,170
SB,1,TWO_PAIR,Raise,190
SB,0,ONE_PAIR,Fold,-85
SB,0,HIGH_CARD,Raise,150
SB,0,HIGH_CARD,Check,-150
BB,1,ONE_PAIR,Raise,-650
BB,0,ONE_PAIR,Check,-175
BB,0,ONE_PAIR,Fold,-175
SB,0,HIGH_CARD,Fold,-50
SB,0,ONE_PAIR,Check,-70
SB,0,ONE_PAIR,All In,-450
BB,0,ONE_PAIR,Check,0
BB,0,FULL_HOUSE,Check,375
BB,0,FULL_HOUSE,Reraise,375
SB,1,TWO_PAIR,Check,120
BB,0,TWO_PAIR,Check,-200
BB,0,TWO_PAIR,Call,-200
BB,1,THREE_OF_A_KIND,Check,453
BB,1,THREE_OF_A_KIND,Reraise,453
SB,0,TWO_PAIR,Call,-303
BB,0,TWO_PAIR,Check,95
BB,0,TWO_PAIR,Call,95
SB,0,ONE_PAIR,Raise,-90
SB,0,ONE_PAIR,Fold,-90
BB,0,ONE_PAIR,Check,180
BB,0,ONE_PAIR,Call,180
SB,0,HIGH_CARD,Check,-165
SB,0,HIGH_CARD,Reraise,-300
SB,0,HIGH_CARD,Fold,-300
BB,0,HIGH_CARD,Check,-20
BB,0,HIGH_CARD,Fold,-20
SB,1,THREE_OF_A_KIND,Raise,40
SB,0,THREE_OF_A_KIND,Raise,100
SB,0,ONE_PAIR,Fold,-140
BB,0,TWO_PAIR,Check,-410
BB,0,TWO_PAIR,Fold,-410
BB,0,TWO_PAIR,Raise,350
BB,0,TWO_PAIR,Check,-175
SB,0,HIGH_CARD,Raise,-210
BB,0,FLUSH,Check,-650
BB,0,FLUSH,Call,-650
BB,1,FLUSH,Check,-1000
BB,1,FLUSH,Call,-1000
BB,1,FLUSH,Raise,1000
SB,1,STRAIGHT_FLUSH,Raise,1000
SB,0,STRAIGHT_FLUSH,Raise,650
SB,1,STRAIGHT_FLUSH,Raise,650
BB,0,THREE_OF_A_KIND,Raise,775
SB,1,FULL_HOUSE,Raise,-1250
SB,1,FULL_HOUSE,Call,-1250
SB,1,STRAIGHT,Reraise,1600
BB,0,THREE_OF_A_KIND,Check,-1500
BB,0,THREE_OF_A_KIND,Call,-1500
SB,0,THREE_OF_A_KIND,Raise,950
BB,1,THREE_OF_A_KIND,Raise,1110
SB,0,FULL_HOUSE,Raise,-1100
SB,0,FULL_HOUSE,Call,-1100
BB,1,FULL_HOUSE,Check,-1000
BB,1,FULL_HOUSE,Call,-1000
BB,0,FOUR_OF_A_KIND,Check,1500
BB,0,FOUR_OF_A_KIND,Raise,1500
SB,0,FOUR_OF_A_KIND,All In,1500
BB,0,STRAIGHT,Check,1100
BB,0,STRAIGHT,Raise,1100
SB,0,STRAIGHT,Raise,950
BB,0,HIGH_CARD,Check,-1200
BB,0,HIGH_CARD,Raise,-1200
BB,0,HIGH_CARD,Check,-900
BB,0,HIGH_CARD,Fold,-900
BB,0,HIGH_CARD,Raise,750
SB,1,HIGH_CARD,Raise,950
SB,0,HIGH_CARD,Raise,-700
BB,0,ONE_PAIR,Check,800
BB,0,ONE_PAIR,Call,800
BB,0,ONE_PAIR,Check,-800
BB,0,ONE_PAIR,Fold,-800
SB,1,ONE_PAIR,Check,800
SB,0,ONE_PAIR,Call,450
BB,0,TWO_PAIR,Check,-1200
BB,0,TWO_PAIR,Reraise,-1200
SB,0,TWO_PAIR,Raise,-750
SB,0,THREE_OF_A_KIND,Call,-775
BB,1,FULL_HOUSE,Check,1250
