Position,Previous_Action,Strength,Action,Result
BB,0,HIGH_CARD,Check,-4750
BB,0,ONE_PAIR,Check,-22825
BB,0,HIGH_CARD,Check,-19200
BB,0,HIGH_CARD,Call,-19200
SB,1,ONE_PAIR,Raise,54233
SB,0,HIGH_CARD,Call,55725
SB,1,ONE_PAIR,Raise,-64553
BB,1,TWO_PAIR,Raise,19776
BB,1,HIGH_CARD,Raise,17292
SB,0,ONE_PAIR,Check,4750
SB,1,FLUSH,Check,22825
SB,1,HIGH_CARD,Raise,19200
BB,0,STRAIGHT,Check,-54233
BB,0,STRAIGHT,Call,-54233
BB,1,ONE_PAIR,Raise,-55725
BB,0,THREE_OF_A_KIND,Check,64553
BB,0,THREE_OF_A_KIND,Call,64553
SB,0,ONE_PAIR,Call,-19776
SB,0,ONE_PAIR,Call,-17292
BB,0,HIGH_CARD,Check,-90
BB,0,HIGH_CARD,Check,150
BB,0,HIGH_CARD,Check,150
SB,0,TWO_PAIR,Check,-140
SB,0,TWO_PAIR,Raise,-210
BB,1,THREE_OF_A_KIND,Check,-500
BB,1,THREE_OF_A_KIND,Call,-500
BB,1,THREE_OF_A_KIND,Raise,-470
SB,0,FULL_HOUSE,Raise,315
SB,0,FULL_HOUSE,Call,315
SB,1,FULL_HOUSE,Raise,450
SB,1,FULL_HOUSE,Call,450
BB,0,TWO_PAIR,Raise,20
BB,0,HIGH_CARD,Check,-20
BB,0,HIGH_CARD,Fold,-20
SB,1,ONE_PAIR,Raise,80
BB,0,ONE_PAIR,Check,-48
SB,0,TWO_PAIR,Raise,-130
SB,0,TWO_PAIR,Fold,-130
SB,0,TWO_PAIR,Raise,-200
SB,0,TWO_PAIR,Check,-165
SB,0,HIGH_CARD,Check,-195
BB,0,ONE_PAIR,Raise,60
SB,1,ONE_PAIR,Raise,225
BB,0,HIGH_CARD,Check,-170
BB,0,HIGH_CARD,Check,-190
SB,1,ONE_PAIR,All in,734
BB,1,ONE_PAIR,Check,85
SB,0,TWO_PAIR,Reraise,537
SB,0,TWO_PAIR,All in,537
BB,1,ONE_PAIR,Check,150
SB,0,ONE_PAIR,Raise,175
BB,0,TWO_PAIR,Check,50
